entity	claims
Bill_Simon_(politician)	human||Neptune Township||male||United States of America||Republican Party||Williams College||Boston College||Catholic Church||Bill||politician||Simon||English||English
Kevin	English||Irish||Dutch||male given name||Coemgenus||Caomhan||Kévin||Kewin||Kevyn||Caoimhín||Kevan||Keven||October 11||September 7||Kevin||Latin script||Kevin||frequency of first names in the Netherlands, 2010||list of people with the given name Kevin
Group_of_Eight	
Mindanao	island||Category:Mindanao||Philippines||Armenian Soviet Encyclopedia||Brockhaus and Efron Encyclopedic Dictionary||Great Soviet Encyclopedia (1926–1947)||History of Ming||Mount Apo||Philippine Sea||Celebes Sea||Sulu Sea||Bohol Sea||UTC+08:00||Mindanao||Mindanao||Asia||Cebuano||Philippines||Mindanao||Category:Maps of Mindanao||Wikipedia:Vital articles/Level/4
General_Services_in_the_European_Commission	Category:General Services in the European Commission
Sanjay_Gupta	human||Novi||Michigan Medicine||University of Michigan||University of Michigan Medical School||Novi High School||United States of America||surgeon||neurosurgeon||journalist||screenwriter||novelist||actor||Sanjay Gupta||Rebecca Olson Gupta||White House Fellows||Urbino Press Award||Sanjay||Gupta||Atlanta||Emory University||CNN||English||male||Obalky knih.cz||Medvik||American Academy of Arts and Sciences||English||English||dark brown||black hair||Hinduism
Asad	Wikimedia disambiguation page||Asad
Zelman_Cowen	male||Melbourne||Toorak||Australia||Melbourne Law School||New College||Scotch College||human||Judaism||Governor-General of Australia||Member of the Privy Council of the United Kingdom||Parkinson's disease||Knight Grand Cross of the Royal Victorian Order||Knight Grand Cross of the Order of St Michael and St George||Fellow of the Australian Academy of Technological Sciences and Engineering||Rhodes Scholarship||Knight of the Order of Australia||Knight Bachelor||jurist||politician||university teacher||lawyer||University of Queensland||University of Calcutta||University of New England||University of Chicago||University of Washington||University of Melbourne||American Academy of Arts and Sciences||Australian Academy of the Humanities||Zelman||Cowen||Sir||Parkinson's disease||English||World War II||English
Art	Portal:Arts||recreation||culture||arts||Category:The arts||Category:Art||history of art||Armenian Soviet Encyclopedia||Ottův slovník naučný||Bible Encyclopedia of Archimandrite Nicephorus||Small Brockhaus and Efron Encyclopedic Dictionary||Gujin Tushu Jicheng||Meyers Konversations-Lexikon, 4th edition (1885–1890)||Wikipedia:List of articles all languages should have||Art+Feminism||Wikipedia:Vital articles/Level/4||art history||art practice||sociology of art||artist||art writer||academic major||essentially contested concept||academic discipline||field of work||economic sector||art genre||art style||type of arts||Classificatory disputes about art||Template:ACArt||Sztuka||work of art
Herman_Cain	male||Republican Party||Morehouse College||Purdue University||human||radio personality||politician||businessperson||journalist||writer||United States of America||Memphis||Category:Herman Cain||Lentapedia||Who's Who Among African Americans||Herman||African Americans||English||Horatio Alger Award||Cain||Baptists||Atlanta||The Coca-Cola Company||Pillsbury Company||Federal Reserve Bank of Kansas City||National Restaurant Association||Godfather's Pizza||COVID-19||Herman Cain presidential campaign, 2012||Atlanta||natural causes||COVID-19||English
Bob_Casey_Jr.	male||United States of America||politician||lawyer||auditor||treasurer||state treasurer||Pennsylvania Auditor General||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||Democratic Party||College of the Holy Cross||The Catholic University of America||Scranton Preparatory School||human||Scranton||Bob||Robert||English||Washington, D.C.||Robert P. Casey||Catholicism||Roman Catholic||Casey||United States of America
Jose_Rodriguez_(intelligence_officer)	human||Puerto Rico||University of Florida||male||United States of America||Central Intelligence Agency||José||spy||Rodriguez
JR_Chandler	United States of America||fictional human||television character||All My Children||male
Sermon_on_the_Mount	Category:Sermon on the Mount||sermon||Beatitudes||Lord's Prayer||Parable of the Wise and the Foolish Builders||Jesus||New Encyclopedic Dictionary||Bible Encyclopedia of Archimandrite Nicephorus||life of Jesus in the New Testament||Sermon on the Plain
Tom_Hayhoe	Corpus Christi College||Stanford University||St Paul's School||Stanford Graduate School of Business||human||male||Tom||sailor||Hayhoe||Droxford||Social Democratic Party||sailing||United Kingdom||English
Irish_Recorded_Music_Association	organization||trade union federation||Dublin||Irish music charts
Alzheimer's_disease	Alois Alzheimer||Category:Alzheimer's disease||tauopathy||aging-associated diseases||particular disease||APOE||NKAIN2||BMPER||SLC8A1-AS1||MS4A3||CR1||CD2AP||ABCA7||INPP5D||ZCWPW1||CELF1||FERMT2||CASS4||PTK2B||SORL1||SQSTM1||NDUFAF6||AP2A2||IGH||SPPL2A||TRIP4||CD33||GLIS3||PRRC2C||FMN2||CTNNA2||LIMS2||MOBP||STK32B||AFF1||ANKRD55||CAMK4||DMXL1||MEGF10||SAP30L||PLEKHG1||CYCS||ELMO1||HECW1||EXOC4||CSMD1||ST18||NCS1||PLPP4||ARHGAP20||SLC4A8||CRADD||ANO4||GPC6||MYO16||CLMN||GABRG3||VAT1L||CACNA1G||BCAS3||PPIAP59||TGM6||PARVB||APOC1||NECTIN2||TOMM40||TREM2||MPZL1||ATXN7L1||LUZP2||CDON||PCNX1||PICALM||PPP1R3B||SLC4A1AP||POLN||CNTNAP2||STK24||VSNL1||BIN1||MPP7||ZNF320||STK11||DIP2C||DCHS2||CLU||CCDC134||MTHFD1L||RELN||PCDH11X||GAB2||APP||PLD3||neurology||memory loss that disrupts daily life||confusion with time and space||challenges in planning or solving problems||difficulty completing familiar tasks at home, at work or at leisure||trouble understanding visual images and spatial relationships||decreased or poor judgment||withdrawal from work or social activities||problems with words in speaking or writing||changes in mood and personality||misplacing things and losing the ability to retrace steps||dementia||Wikipedia:List of articles all languages should have||WikiProject Zika Corpus||WikiProject Medicine||Wikipedia:Vital articles/Level/4||rare disease||class of disease||quetiapine||aripiprazole||galantamine||donepezil||risperidone||memantine||rivastigmine||rivastigmine||memantine||pyritinol||Asperger syndrome||neurological diagnostic techniques||medical history||magnetic resonance imaging||psychological test||unknown||memantine||donepezil||rivastigmine||galantamine||physostigmine
Soviet_Union	Workers of the world, unite!||Warsaw Pact||Organization for Security and Co-operation in Europe||COMECON||International Civil Aviation Organization||United Nations||United Nations Security Council||states with nuclear weapons||Portal:Soviet Union||Moscow||Vladimir Lenin||Alexei Rykov||Vyacheslav Molotov||Joseph Stalin||Georgy Malenkov||Nikolai Bulganin||Nikita Khrushchev||Alexei Kosygin||Nikolay Aleksandrovich Tikhonov||Nikolai Ryzhkov||Valentin Pavlov||Ivan Silayev||.su||federal republic||socialist state||historical country||sovereign state||communist state||transcontinental country||supranational union||member states of the United Nations||Permanent members of the United Nations Security Council||cratonym||Russian Soviet Federative Socialist Republic||Ukrainian Soviet Socialist Republic||Byelorussian Soviet Socialist Republic||Transcaucasian Socialist Federative Soviet Republic||flag of the Soviet Union||soviet republic||parliamentary republic||single-party system||federation||emblem of the Soviet Union||Constitution of the Soviet Union||Belavezha Accords||Declaration of the USSR Council of the Republics regarding the establishment of the Commonwealth of Independent States||Post-Soviet states||Commonwealth of Independent States||Treaty on the Creation of the Union of Soviet Socialist Republics||1924 Soviet Constitution||Soviet ruble||Russian||Treaty on the Creation of the Union of Soviet Socialist Republics||dissolution of the Soviet Union||Belavezha Accords||Great Patriotic War||New Economic Policy||Perestroika||Era of Stagnation||World War II||1924 Soviet Constitution||Category:Soviet Union||Category:Births in the Soviet Union||Category:Deaths in the Soviet Union||Czechoslovakia||Finland||Iran||Turkey||Mongolian People's Republic||People's Republic of China||North Korea||Afghanistan||Japan||Poland||Polish People's Republic||Bulgaria||Socialist Republic of Romania||United States of America||Romania||Empire of Japan||Interwar Estonia||Interwar Lithuania||Interwar Latvia||Nazi Germany||Hungary||Russian Soviet Federative Socialist Republic||Ukrainian Soviet Socialist Republic||Byelorussian Soviet Socialist Republic||Transcaucasian Socialist Federative Soviet Republic||Second Polish Republic||Category:Films shot in Soviet Union||Canada||United States of America||Czechoslovakia||Yugoslavia||Romania||Israel||Angola||German Democratic Republic||Denmark||Grenada||Cuba||Holy See||Laos||Norway||Pakistan||Turkey||Philippines||Ivory Coast||Malaysia||Tonga||Vanuatu||Japan||Germany||People's Republic of China||history of the Soviet Union||Armenian Soviet Encyclopedia||Granat Encyclopedic Dictionary||Chairman of the Presidium of the Supreme Soviet of the USSR||Chairman of the Supreme Soviet of the USSR||President of the Soviet Union||geography of the Soviet Union||Mikhail Ivanovich Kalinin||Nikolai Shvernik||Kliment Voroshilov||Leonid Brezhnev||Anastas Mikoyan||Mykola Pidhornyi||Leonid Brezhnev||Vasili Kuznetsov||Yuri Andropov||Vasili Kuznetsov||Konstantin Chernenko||Vasili Kuznetsov||Andrei Gromyko||Mikhail Gorbachev||Europe||Asia||Chairman of the Council of People's Commissars||Chairman of the Council of Ministers of the USSR||Chairman of the Council of Ministers of the USSR||Soviet Union||Category:Soviet people||The Internationale||State Anthem of the Soviet Union||soviet||socialism||republic||Union||outline of the Soviet Union||Russian Soviet Federative Socialist Republic||Ukrainian Soviet Socialist Republic||Byelorussian Soviet Socialist Republic||Armenian Soviet Socialist Republic||Georgian Soviet Socialist Republic||Azerbaijan Soviet Socialist Republic||Lithuanian Soviet Socialist Republic||Latvian Soviet Socialist Republic||Estonian Soviet Socialist Republic||Moldavian Soviet Socialist Republic||Kazakh Soviet Socialist Republic||Kirghiz Soviet Socialist Republic||Uzbek Soviet Socialist Republic||Turkmen Soviet Socialist Republic||Tajik Soviet Socialist Republic||Karelo-Finnish Soviet Socialist Republic||Transcaucasian Socialist Federative Soviet Republic||state atheism||atheism||War of Attrition||Eastern Front (World War II)||Pacific War||Intermediate-Range Nuclear Forces Treaty||Russian Soviet Federative Socialist Republic||Russian||Soviet studies||Russia||Ukraine||Latvia||Lithuania||Estonia||Belarus||Moldova||Georgia||Armenia||Uzbekistan||Kazakhstan||Tajikistan||Turkmenistan||Kyrgyzstan||Azerbaijan||economy of the Soviet Union||Russian Socialist Federative Soviet Republic||Interwar Latvia||demographics of the Soviet Union||Congress of Soviets of the Soviet Union||Supreme Soviet of the Soviet Union||October Revolution Day||Joseph Stalin||Georgy Malenkov||Nikita Khrushchev||Leonid Brezhnev||Yuri Andropov||Konstantin Chernenko||Mikhail Gorbachev||secular state||Wikipedia:Vital articles/Level/4
Marco_Rubio	male||United States of America||politician||lawyer||member of the Florida House of Representatives||majority leader||speaker||member||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||Republican Party||University of Florida||University of Miami School of Law||Santa Fe College||Tarkio College||University of Miami||South Miami High School||human||Miami||Marco||Antonio||Florida International University||Rubio||English||Spanish||English||Bachelor of Arts||Juris Doctor||West Miami||right-handedness||Marco Rubio presidential campaign, 2016||Mario Rubio||Jeanette Dousdebes Rubio||Washington, D.C.||Tallahassee||West Miami||University Park||Category:Marco Rubio||Catholicism||Roman Catholic||fiscal conservatism||centre-right||Oriales Rubio||2022 United States Senate election in Florida||United States of America
Paradip	
Tim_Johnson_(South_Dakota_politician)	male||United States of America||politician||lawyer||advisor||United States representative||member of the South Dakota House of Representatives||member of the State Senate of South Dakota||state's attorney||United States representative||United States representative||United States representative||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States representative||United States representative||Democratic Party||University of South Dakota||Michigan State University||primary school||Master of Arts||University of South Dakota||human||Tim||Canton||Johnson||English||Washington, D.C.||Lutheranism||Tim Johnson
Hezbollah	political party||militia||terrorist organization||Category:Hezbollah||Islamism||anti-Zionism||anti-imperialism||Arab nationalism||Islam||Beirut||Lentapedia||Lentapedia (full versions)||yellow||green||Canada||United States of America||Israel||Egypt||Arab League||Argentina||Germany||Imad Mughniyah||Mohammad Hussein Fadlallah||Ali Akbar Mohtashamipur||Hassan Nasrallah||Template:Hezbollah||Lebanon||Lebanese Civil War||2006 Lebanon War||2008 conflict in Lebanon||Syrian Civil War||Shia Islam||Al-Manar||Category:Hezbollah politicians||Category:Hezbollah members||flag of Hezbollah||Hassan Nasrallah
Taps	
Procuring_(prostitution)	activity||procuration||offense against sexual self-determination||procurer||madam||brothel owner||Strafgesetzbuch
Carrie_(novel)	Stephen King||epistolary novel||horror fiction||thriller||Carrie White||Margaret White||Sue Snell||Rita Desjardin||United States of America||English||Carrie (first edition, 1974)||literary work||book||Carrie||The Rage: Carrie 2||Carrie||Carrie||Carrie||Doubleday||United States of America||novel||Carrie||debut novel
Aegean_Sea	sea||Category:Aegean Sea||Mediterranean Sea||Cyclades||Adrianople Vilayet||Salonica Vilayet||Small Brockhaus and Efron Encyclopedic Dictionary||Brockhaus and Efron Encyclopedic Dictionary||Ottův slovník naučný||The New Student's Reference Work||Encyclopædia Britannica 11th edition||Paulys Realenzyklopädie der klassischen Altertumswissenschaft||Real'nyj slovar' klassicheskih drevnostej po Ljubkeru||Limits of Oceans and Seas, 3rd edition||The Nuttall Encyclopædia||Greece||Turkey||Greece||Turkey||Category: Deaths in the Aegean Sea||Mediterranean Sea||Icarian Sea||Thracian Sea||Sea of Crete||Myrtoan Sea||Gulf of İzmir||Aegean Sea basin||Category:Views from Cape Sounion||Aegeus||Greece||Büyük Menderes River||Küçük Menderes River||Almyrós Potamós||Enipeas||Gediz River||Inachos||Krausidonas||Maritsa||Sedountas||Yassıçay||Wikipedia:Vital articles/Level/4
Billy_Pollina	human||male||film producer||television producer||Billy||United States of America||American Academy of Dramatic Arts
Rome	Portal:Rome||outline of Rome||Category:People from Rome||mayor of Rome||Peter||Paul the Apostle||Metropolitan City of Rome||Italy||Lazio||Province of Rome||Papal States||Rome||Tibre||Ancient Rome||Kingdom of Italy||Roma Capitale||Roman Republic||Roman Empire||Rome City Council||Province of Rome||Papal States||Rome||Ancient Rome||Roman Republic||Roman Empire||Western Roman Empire||Roma Capitale||culture of ancient Rome||Ostrogoths||Byzantine civilization||Christian culture||Tiber||Aniene||Tyrrhenian Sea||Italy||Papal States||Kingdom of Italy||Ostrogothic Kingdom||Byzantine Empire||Kingdom of Italy||Roman Kingdom||Roman Republic||Roman Empire||Western Roman Empire||Wikipedia:List of articles all languages should have||Wikipedia:Vital articles/Level/4||Paris||Kraków||Johannesburg||Cincinnati||Douala||Marbella||Achacachi Municipality||Tokyo||Seville||Benevento||Seoul||Contrada della Lupa||Plovdiv||Kyiv||Washington, D.C.||Brasília||Beijing||Mexico City||Category:Rome||Category:Burials in Rome by place||Ignazio Marino||Virginia Raggi||Gianni Alemanno||Francesco Rutelli||Walter Veltroni||Franco Carraro||Roberto Gualtieri||Category:Films shot in Rome||Stadio Nazionale PNF||Cornelia metro station||Codex Palatinus Germanicus 324||Stadio Olimpico del Nuoto||Palazzetto dello Sport||Category:Deaths in Rome||Anguillara Sabazia||Ardea||Castel Gandolfo||Ciampino||Colonna, Lazio||Fiumicino||Fonte Nuova||Formello||Grottaferrata||Mentana||Monte Porzio Catone||Monte Compatri||Monterotondo||Poli||Pomezia||Sacrofano||Trevignano Romano||Zagarolo||Albano Laziale||Campagnano di Roma||Castel San Pietro Romano||Frascati||Gallicano nel Lazio||Marino||Palestrina||Riano, Lazio||Tivoli||Guidonia Montecelio||San Gregorio da Sassola||border town||abolished municipality in Italy||tourist destination||human settlement||capital city||metropolis||million city||largest city||college town||big city||Category:Births in Rome||Romulus||Remus||Municipio I||Municipio II||Municipio III||Municipio IV||Municipio V||Municipio VI||Municipio VII||Municipio XV||Municipio VIII||Municipio IX||Municipio X||Municipio XI||Municipio XII||Municipio XIII||Municipio XIV||Bible Encyclopedia of Archimandrite Nicephorus||Jewish Encyclopedia of Brockhaus and Efron||Small Brockhaus and Efron Encyclopedic Dictionary||Brockhaus and Efron Encyclopedic Dictionary||Infernal Dictionary, 6th ed.||Paulys Realenzyklopädie der klassischen Altertumswissenschaft||Real'nyj slovar' klassicheskih drevnostej po Ljubkeru||Brockhaus and Efron Encyclopedic Dictionary||Brockhaus and Efron Encyclopedic Dictionary||Brockhaus and Efron Encyclopedic Dictionary||Brockhaus and Efron Encyclopedic Dictionary||Brockhaus and Efron Encyclopedic Dictionary||Encyclopædia Britannica 11th edition||Granat Encyclopedic Dictionary||The Nuttall Encyclopædia||Catholic Encyclopedia||patronal festival||Category:Geography of Ancient Rome||Italian||UTC+01:00||UTC+02:00||Open Data Roma||flag of Rome||economy of Rome||demographics of Rome||coat of arms of Rome||Creative Cities Network||League of Historical Cities||Rzym||Category:Honorary citizens of Rome||Category:Rome-related lists||2A-3A-3B||Europe||410 sack of Rome||Sack of Rome||siege of Rome (472)||Siege of Rome (537-538)||Sack of Rome||Sack of Rome||Sack of Rome, 1527||Siege of Rome (1849)||Siege of Rome (390 a.C.)||Siege of Rome (549)||founding of Rome
United_Airlines_Flight_93	Category:United Airlines Flight 93||United Airlines||aviation accident||terrorist attack||flight||Boeing 757||United States of America||Newark Liberty International Airport||San Francisco International Airport||Template:United Airlines Flight 93||Ziyad Samir Jarrah||Ahmed al-Nami||Ahmed al-Haznawi||Saeed al-Ghamdi||LeRoy Homer||Tom Burnett||Mark Bingham||Jeremy Glick||Lauren Grandcolas||Todd Beamer||Shanksville||Boeing 757||September 11 attacks||Stonycreek Township
Lyndon_B._Johnson	United States of America||President of the United States||United States representative||Vice President of the United States||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||Stonewall||Stonewall||Lady Bird Johnson||Lynda Bird Johnson Robb||Luci Baines Johnson||politician||teacher||rancher||statesperson||acute myocardial infarction||human||Democratic Party||Texas State University||Georgetown University Law Center||Junction School||Category:Lyndon B. Johnson||coronary artery disease||Vietnam War||World War II||Salamaua–Lae campaign||Invasion of Salamaua–Lae||Presidential Medal of Freedom||Silver Star||Lasker-Bloomberg Public Service Award||honorary doctor of the Florida Atlantic University||American Campaign Medal||Asiatic-Pacific Campaign Medal||World War II Victory Medal||Washington, D.C.||Johnson||Lyndon||Baines||grave of Lyndon B. Johnson||Samuel Ealy Johnson||English||English||natural causes||Lyndon Baines Johnson Library and Museum||right-handedness||A||Great Soviet Encyclopedia (1969–1978)||Armenian Soviet Encyclopedia||Obalky knih.cz||Christian Church (Disciples of Christ)||Restorationism||Nobel Peace Prize||Sam Houston Johnson||United States Navy||lieutenant commander||male||English||American Legion||Veterans of Foreign Wars||Kennedy-Warren Apartment Building||White House||Rebekah Baines Johnson||gun control||politics||government||1964 United States presidential election||1964 United States presidential election in California||Wikipedia:Vital articles/Level/4
Richard_Drew_(photographer)	male||United States of America||human||photographer||photojournalist||journalist||Richard||New York City||Drew||Richard Gurley Drew||Zacron||Museum of Modern Art||The Falling Man||works protected by copyrights
Aftermath_of_World_War_II	Category:Aftermath of World War II||World War II||end of World War II||historical period||post-war
Amy	female given name||Aimée||Aimee||Amie||Amý||Amata||Amy||Amy||Latin script||Dutch||Swedish||frequency of first names in the Netherlands, 2010||Wiktionary
Times_Square	square||neighborhood||tourist attraction||United States of America||Manhattan||Category:Times Square||The New York Times||Foursquare City Guide
Tucker,_Georgia	United States of America||DeKalb County||Category:Tucker, Georgia||city in the United States||Doraville
The_Recording_Academy	Los Angeles||United States of America||learned society||Grammy Awards||Harvey Mason Jr.||star on Hollywood Walk of Fame
Iraqi_Army	
Earl_of_Wilmington	Category:Earls of Wilmington||noble title
Snoop_Dogg	Snoop Dogg discography||actor||rapper||musician||record producer||businessperson||singer||television actor||songwriter||film actor||human||Category:Snoop Dogg||Long Beach||United States of America||Calvin||Cordozar||English||hip hop music||funk||gangsta rap||G-funk||contemporary R&B||reggae||West Coast hip hop||Death Row Records||Empire Distribution||Doggy Style Records||RCA Inspiration||Interscope Records||No Limit Records||Priority Records||Geffen Records||RCA Records, Inc.||Broadus||Rollin' 20's Crips||213||Death Row Records||Rastafari movement||WWE Hall of Fame||American Music Award for Favorite Rap/Hip-Hop Artist||BET Award for Best Collaboration||MTV Movie Award for Best Cameo||MTV Video Music Award for Best Rap Video||MTV Video Music Award for Best Art Direction||star on Hollywood Walk of Fame||Ray J||Brandy||Sasha Banks||Daz Dillinger||Nate Dogg||RBX||male||Template:Snoop Dogg||English||Category:Films directed by Snoop Dogg||Obalky knih.cz||Snoop Dogg filmography||cannabis culture||English||WikiProject African diaspora||voice||Compton College||Shante
Born_alive_rule	
Jon_Meacham	human||Chattanooga||journalist||historian||biographer||editor-in-chief||editor||writer||Jon||Pulitzer Prize for Biography or Autobiography||United States of America||Newsweek||Vanderbilt University||Sewanee: The University of the South||The McCallie School||Phi Beta Kappa Society||Mayoral Advisory Commission on City Art, Monuments, and Markers||male||Obalky knih.cz||Vanderbilt Department of Political Science||English||Meacham||politics||history||faith
Bill_Ayers	United States of America||human||pedagogue||autobiographer||university teacher||journalist||peace activist||philosopher||University of Michigan College of Literature, Science, and the Arts||Columbia University||Teachers College||Bank Street College of Education||Lake Forest Academy||Bill||Glen Ellyn||Bernardine Dohrn||Ayers||University of Illinois at Chicago||English||male||Chicago||Thomas G. Ayers
Influenza_A_virus_subtype_H1N1	influenza A virus||Category:Influenza A virus subtype H1N1||subtype||influenza A virus
Vancouver	Yokohama||Odesa||Edinburgh||Guangzhou||Los Angeles||Rio de Janeiro||Amsterdam||Cali||Arequipa||Coevorden||Dubai||Portal:Vancouver||Metro Vancouver Regional District||British Columbia||Canada||Kennedy Stewart||Ken Sim||big city||city in British Columbia||border town||George Vancouver||North America||UTC−08:00||America/Vancouver||flag of Vancouver||Category:Vancouver||Category:Births in Vancouver||Category:Deaths in Vancouver||Category:Films shot in Vancouver||Category:People from Vancouver||West Vancouver||Burnaby||University Endowment Lands||Richmond||North Vancouver||North Vancouver||history of Vancouver||Vancouver City Council||Mayor of Vancouver||Fraser River||Burrard Inlet||English Bay||William Cornelius Van Horne||Vancouver City Hall||Pacific Coliseum||Doug Mitchell Thunderbird Sports Centre||Scotiabank Field at Nat Bailey Stadium||Vancouver Forum||Civilization V||Category:Maps of Vancouver||City of Vancouver public data||economy of Vancouver||Vancouver Civic Theatres||Category:Vancouver-related lists||municipal corporation||2010 Winter Olympics||Marine west coast climate||Wikipedia:Vital articles/Level/4||Granville, British Columbia
Angus_King	male||United States of America||politician||lawyer||businessperson||television presenter||co-producer||business executive||entrepreneur||celebrity||Governor of Maine||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||Dartmouth College||University of Virginia School of Law||Francis C. Hammond Middle School||human||Alexandria||Bowdoin College||Bates College||Angus||English||Episcopal Church||Brunswick||Washington, D.C.||Brunswick||Skowhegan||Portland||Augusta||Lewiston||independent politician||King||gun control||honorary doctor of Bowdoin College||COVID-19||United States of America
United_States_Senate_Committee_on_Indian_Affairs	United States congressional committee||United States of America
Empire_State_Building	Shreve, Lamb & Harmon||Art Deco architecture||Manhattan||United States of America||office building||skyscraper||tourist attraction||office||Fifth Avenue||34th Street||Category:Empire State Building||National Historic Landmark||National Register of Historic Places listed place||New York City Landmark||Midtown Manhattan||Empire State Realty Trust||Seven Wonders of the Modern World||construction||opening ceremony||aviation accident||groundbreaking||steel||limestone||brick||cement||Wikipedia:List of articles all languages should have||Wikipedia:Vital articles/Level/4||observation deck||transmitter mast||lobby||retail area||Category:Interior of the Empire State Building||Empire State||Category:Views from the Empire State Building||Category:Exterior of the Empire State Building||Homer G. Balcom
George_Zimmerman	human||Manassas||male||Lentapedia||George||United States of America||Seminole State College of Florida||Osbourn High School||Zimmerman||shooting of Trayvon Martin||neighborhood watch||English
David_Webb_(Hong_Kong_activist)	Exeter College||human||male||David||London||United Kingdom||businessperson||English
Assück	musical group||United States of America||grindcore
Saturday_Night_Live	Dave Wilson||Beth McCarthy-Miller||Don Roy King||Paul Miller||Tim Robbins||Ken Friedman||Paul Thomas Anderson||Mitchell Kriegman||John Davies||Walter Williams||Anthony Lover||Jorma Taccone||Colin Jost||Jason Woliner||Tom Warburton||Christopher Guest||Robert Leacock||Greg Scarnici||Chel White||T. Sean Shannon||Noah Baumbach||Eric Idle||Andy Breckman||Mike Judge||Michael Nesmith||Craig McKay||Martin Brest||Jonathan Demme||Linda Lee Cadwell||Stefan Nadelman||Jonathan Krisel||Rhys Thomas||Matt Villines||Ben Stiller||Gerald Cotts||Jack Zander||Leon Ichaso||Lyndall Hobbs||A. D. Miles||Mary Pat Kelly||Paul Miller||Jason Reitman||Tim Boxell||Jake Szymanski||Robert Smigel||J. J. Sedelmaier||William Wegman||Andy Warhol||William Dear||Robert Altman||Gary Weis||Matthew Meshekoff||Akiva Schaffer||Bill D'Elia||Tom Gianas||Tom Schiller||James Signorelli||Aviva Slesin||Randal Kleiser||Yoko Ono||Dave McCary||Dan Perri||John David Coles||Bill Paxton||Bruce McCulloch||Adam McKay||Mark Story||Category:Saturday Night Live||United States of America||English||NBC||sketch comedy||television series||Lorne Michaels||Lorne Michaels||Universal Pictures||NBC||Studio 8H||Saturday Night Live, season 1||Saturday Night Live, season 2||Saturday Night Live, season 3||Saturday Night Live, season 4||Saturday Night Live, season 5||Saturday Night Live, season 6||Saturday Night Live, season 7||Saturday Night Live, season 8||Saturday Night Live, season 9||Saturday Night Live, season 10||Saturday Night Live, season 11||Saturday Night Live, season 12||Saturday Night Live, season 13||Saturday Night Live, season 14||Saturday Night Live, season 15||Saturday Night Live, season 16||Saturday Night Live, season 17||Saturday Night Live, season 18||Saturday Night Live, season 19||Saturday Night Live, season 20||Saturday Night Live, season 21||Saturday Night Live, season 22||Saturday Night Live, season 23||Saturday Night Live, season 24||Saturday Night Live, season 25||Saturday Night Live, season 26||Saturday Night Live, season 27||Saturday Night Live, season 28||Saturday Night Live, season 29||Saturday Night Live, season 30||Saturday Night Live, season 31||Saturday Night Live, season 32||Saturday Night Live, season 33||Saturday Night Live, season 34||Saturday Night Live, season 35||Saturday Night Live, season 36||Saturday Night Live, season 37||Saturday Night Live, season 38||Saturday Night Live, season 39||Saturday Night Live, season 40||Saturday Night Live, season 41||Saturday Night Live, season 43||Saturday Night Live, season 42||Saturday Night Live, season 44||Saturday Night Live, season 45||Saturday Night Live, season 46||Saturday Night Live, season 47||Saturday Night Live, season 48||list of recurring Saturday Night Live characters and sketches by cast member||Fred Armisen||Dan Aykroyd||Morwenna Banks||Don Pardo||Darrell Hammond||Kenan Thompson||Seth Meyers||Bobby Moynihan||Tim Meadows||Chevy Chase||Bill Hader||Kevin Nealon||Jason Sudeikis||Will Ferrell||Tina Fey||Amy Poehler||Tracy Morgan||Kate McKinnon||Maya Rudolph||Phil Hartman||Eddie Murphy||John Belushi||Andy Samberg||Aidy Bryant||Kristen Wiig||Don Pardo||NBC||Broadway Video||English||Primetime Emmy Award for Outstanding Variety Sketch Series||Primetime Emmy Award for Outstanding Variety Sketch Series||Primetime Emmy Award for Outstanding Variety Sketch Series||Primetime Emmy Award for Outstanding Directing for a Variety Series||Saturday Night Live cast members||video on demand||Hulu
United_States_Senate_Committee_on_Veterans'_Affairs	United States congressional committee||United States of America
